"Title:","Author:","Publisher","Published Date:","Format:","Page number:","Series:","Vol:","Language:","ISBN:","Page read","Item_Url","Icon_Path","Photo_Path","Book Cover","Summary","Location:","Price:","Category:","RATE","Date added:","Copy","Read","Favorite","Comments","Bookshelf:","List Type"
"रजिस्टर्ड नं. 1038","देवी, महाश्वेता","Vani Prakashan","2010","Paperback","100","","","en","9789350002315","0","http://books.google.co.in/books?id=g0zP3_oQc5sC&dq=9789350002315&hl=&source=gbs_api","/HandyLibrary/Photos/Img_9789350002315.png","/HandyLibrary/Photos/Img_9789350002315.png","https://books.google.com/books/content?id=g0zP3_oQc5sC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","<p dir=""ltr"" style=""margin-top:0; margin-bottom:0;"">Novel based on Naxalite movements.</p>
<br>
","","75.0","Bengali fiction","","7/16/2020","","Yes","","","Hindi",""
"21 vueksy dgkfu;k¡","ÓsDlih;j, fofy;e","","0-0-0","Paperback","280","","","en","9788186265550","0","https://www.goodreads.com/book/show/45235606-21-vueksy-dgkfu-k","/HandyLibrary/Icons/Img_9788186265550.png","/HandyLibrary/Photos/Img_9788186265550.png","","","","150.0","Others","","7/18/2020","","","","","Hindi",""
"Waren Hetings Ka Sand","Prakash, Uday","","0-0-0","Paperback","0","","","","9789350727065","0","https://www.goodreads.com/book/show/34420518-waren-hetings-ka-sand","/HandyLibrary/Icons/HandyLibrary_9789350727065.jpg","/HandyLibrary/Photos/HandyLibrary_9789350727065.jpg","","","","100.0","Others","4.5","7/18/2020","","","","","Hindi",""
"Kahānī sāhitya kā tulanātmaka adhyayana","Yohannan, Sī .Ema","Vāṇī Prakāśana","2007","Paperback","210","","","","9788181436832","0","https://openlibrary.org/books/OL16769932M/Kahānī_sāhitya_kā_tulanātmaka_adhyayana","/HandyLibrary/Icons/HandyLibrary_9788181436832.jpg","/HandyLibrary/Photos/HandyLibrary_9788181436832.jpg","","","","325.0","Criticism and interpretation","","7/18/2020","","","","","Hindi",""
"Romeo Juliet Aur Andhera","Otčenášek, Jan; Verma, Nirmal","","0-0-0","Paperback","253","","","en","9789350001646","0","https://www.goodreads.com/book/show/31153599-romeo-juliet-aur-andhera","/HandyLibrary/Icons/HandyLibrary_9789350001646.jpg","/HandyLibrary/Photos/HandyLibrary_9789350001646.jpg","","<p dir=""ltr"" style=""margin-top:0; margin-bottom:0;"">The capability of reading and other personal skills get improves on reading this book Romeo Juliet Aur Andhera by Jan Otcenasek .This book is available in Hindi with high quality printing.Books from Novel category surely gives you the best reading experience.</p>
<br>
","","395.0","Czech","4.0","7/18/2020","","","","","Hindi",""
"Ratn Kangan Tatha Anya Kahaniyan","Kuprin, Aleksandr; Verma, Nirmal","Vani Prakashan","0-0-0","Paperback","293","","","en","9789350001592","0","https://www.goodreads.com/book/show/36363563-ratn-kangan-tatha-anya-kahaniyan","/HandyLibrary/Icons/Img_9789350001592.png","/HandyLibrary/Photos/Img_9789350001592.png","https://books.google.com/books/content?id=m-_7azvijRgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","<p dir=""ltr"" style=""margin-top:0; margin-bottom:0;"">A collection of short stories by A.I. Kuprin.</p>
","","425.0","Man-woman relationships","","7/18/2020","","","","","Hindi",""
"Dashkumarcharit (Sanskrit Classics)","K, Dandi","Rajpal & Sons","0-0-0","Paperback","0","","","hi","9788170287711","0","https://www.goodreads.com/book/show/31552411-dashkumarcharit","/HandyLibrary/Icons/Img_9788170287711.png","/HandyLibrary/Photos/Img_9788170287711.png","https://books.google.com/books/content?id=zyPqWSzxOVoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","110.0","Kindle-version","4.0","7/18/2020","","","","","Hindi",""
"Kumarsambhav (Sanskrit Classics)","V, Kālidāsa","Rajpal & Sons","0-0-0","Paperback","119","","","hin","9788170287728","0","https://www.goodreads.com/book/show/25892364-kumarsambhav","/HandyLibrary/Icons/Img_9788170287728.png","/HandyLibrary/Photos/Img_9788170287728.png","https://books.google.com/books/content?id=9D46Y2a6HJAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","<p dir=""ltr"" style=""margin-top:0; margin-bottom:0;"">&#2360;&#2306;&#2360;&#2381;&#2325;&#2371;&#2340; &#2325;&#2375; &#2360;&#2352;&#2381;&#2357;&#2358;&#2381;&#2352;&#2375;&#2359;&#2381;&#2336; &#2325;&#2357;&#2367; &#2325;&#2366;&#2354;&#2367;&#2342;&#2366;&#2360; &#2344;&#2375; &#8216;&#2325;&#2369;&#2350;&#2366;&#2352;&#2360;&#2306;&#2349;&#2357;&#8217; &#2350;&#2361;&#2366;&#2325;&#2366;&#2357;&#2381;&#2351; &#2350;&#2375;&#2306; &#2358;&#2381;&#2352;&#2371;&#2306;&#2327;&#2366;&#2352;-&#2360;&#2380;&#2344;&#2381;&#2342;&#2352;&#2381;&#2351; &#2325;&#2366; &#2332;&#2376;&#2360;&#2366; &#2357;&#2352;&#2381;&#2339;&#2344; &#2325;&#2367;&#2351;&#2366; &#2361;&#2376; &#2357;&#2376;&#2360;&#2366; &#2309;&#2344;&#2381;&#2351;&#2340;&#2381;&#2352; &#2342;&#2369;&#2352;&#2381;&#2354;&#2349; &#2361;&#2376;&#2404; &#8216;&#2313;&#2346;&#2350;&#2366; &#2325;&#2366;&#2354;&#2367;&#2342;&#2366;&#2360;&#2360;&#2381;&#2351;&#8217; &#2340;&#2379; &#2346;&#2381;&#2352;&#2360;&#2367;&#2342;&#2381;&#2343; &#2361;&#2368; &#2361;&#2376; &#2325;&#2367; &#2310;&#2332; &#2340;&#2325; &#2325;&#2379;&#2312; &#2325;&#2357;&#2367; &#2325;&#2366;&#2354;&#2367;&#2342;&#2366;&#2360; &#2332;&#2376;&#2360;&#2368; &#2313;&#2346;&#2350;&#2366; &#2344;&#2361;&#2368;&#2306; &#2342;&#2375; &#2360;&#2325;&#2366;&#2404; &#8216;&#2325;&#2369;&#2350;&#2366;&#2352;&#2360;&#2306;&#2349;&#2357;&#8217; &#2350;&#2375;&#2306; &#2325;&#2366;&#2354;&#2367;&#2342;&#2366;&#2360; &#2344;&#2375; &#2358;&#2367;&#2357;-&#2346;&#2366;&#2352;&#2381;&#2357;&#2340;&#2368; &#2325;&#2375; &#2309;&#2306;&#2340;&#2352;&#2306;&#2327; &#2325;&#2381;&#2359;&#2339;&#2379;&#2306; &#2325;&#2366; &#2320;&#2360;&#2366; &#2332;&#2368;&#2357;&#2344;&#2381;&#2340; &#2360;&#2380;&#2344;&#2381;&#2342;&#2352;&#2381;&#2351;-&#2330;&#2367;&#2340;&#2381;&#2352;&#2339; &#2325;&#2367;&#2351;&#2366; &#2332;&#2379; &#2360;&#2306;&#2360;&#2381;&#2325;&#2371;&#2340; &#2360;&#2366;&#2361;&#2367;&#2340;&#2381;&#2351; &#2350;&#2375;&#2306; &#2309;&#2344;&#2369;&#2346;&#2350; &#2361;&#2376;&#2404;</p>
<br>
<p dir=""ltr"" style=""margin-top:0; margin-bottom:0;"">&#8216;&#2325;&#2369;&#2350;&#2366;&#2352;&#2360;&#2306;&#2349;&#2357;&#8217; &#2360;&#2306;&#2360;&#2381;&#2325;&#2371;&#2340; &#2360;&#2366;&#2361;&#2367;&#2340;&#2381;&#2351; &#2325;&#2368; &#2327;&#2380;&#2352;&#2357;&#2346;&#2370;&#2352;&#2381;&#2339; &#2325;&#2371;&#2340;&#2367;&#2351;&#2379;&#2306; &#2350;&#2375;&#2306; &#2319;&#2325; &#2313;&#2354;&#2381;&#2354;&#2375;&#2326;&#2344;&#2368;&#2351; &#2350;&#2361;&#2366;&#2325;&#2366;&#2357;&#2381;&#2351; &#2361;&#2376; &#2332;&#2367;&#2360;&#2325;&#2379; &#2346;&#2338;&#2364;&#2340;&#2375; &#2360;&#2350;&#2351; &#2346;&#2366;&#2336;&#2325; &#2313;&#2360;&#2368; &#2350;&#2375;&#2306; &#2352;&#2350; &#2332;&#2366;&#2340;&#2366; &#2361;&#2376;&#2404;</p>
","","140.0","Poetry","4.0","7/18/2020","","","","","Hindi",""
"Raghuvansh (Sanskrit Classics)","V, Kālidāsa; Vidyavachaspati, Indra","Rajpal & Sons","0-0-0","Paperback","151","","","hin","9788170283706","0","https://www.goodreads.com/book/show/25893354-raghuvansh","/HandyLibrary/Icons/Img_9788170283706.png","/HandyLibrary/Photos/Img_9788170283706.png","https://books.google.com/books/content?id=aa2yDKcKySIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","<p dir=""ltr"" style=""margin-top:0; margin-bottom:0;"">&#8216;&#2352;&#2328;&#2369;&#2357;&#2306;&#2358;&#8217; &#2360;&#2306;&#2360;&#2381;&#2325;&#2371;&#2340; &#2360;&#2366;&#2361;&#2367;&#2340;&#2381;&#2351; &#2325;&#2366; &#2319;&#2325; &#2313;&#2340;&#2381;&#2325;&#2371;&#2359;&#2381;&#2335; &#2350;&#2361;&#2366;&#2325;&#2366;&#2357;&#2381;&#2351; &#2361;&#2376; &#2332;&#2367;&#2360;&#2350;&#2375;&#2306; &#2352;&#2328;&#2369; &#2325;&#2375; &#2357;&#2306;&#2358; &#2325;&#2379; &#2357;&#2367;&#2360;&#2381;&#2340;&#2371;&#2340; &#2327;&#2366;&#2341;&#2366; &#2325;&#2361;&#2368; &#2327;&#2312; &#2361;&#2376;&#2404; &#2313;&#2354;&#2381;&#2354;&#2375;&#2326;&#2344;&#2368;&#2351; &#2348;&#2366;&#2340; &#2351;&#2361; &#2361;&#2376;&#2306; &#2325;&#2367; &#2350;&#2361;&#2366;&#2325;&#2357;&#2367; &#2325;&#2366;&#2354;&#2367;&#2342;&#2366;&#2360; &#2344;&#2375; &#2350;&#2361;&#2366;&#2344; &#2324;&#2352; &#2351;&#2358;&#2360;&#2381;&#2357;&#2368; &#2352;&#2366;&#2332;&#2366; &#2342;&#2367;&#2354;&#2368;&#2346; &#2325;&#2368; &#2340;&#2346;&#2360;&#2381;&#2351;&#2366;, &#2352;&#2328;&#2369; &#2325;&#2375; &#2346;&#2352;&#2366;&#2325;&#2381;&#2352;&#2350; &#2324;&#2352; &#2352;&#2366;&#2350; &#2325;&#2375; &#2309;&#2354;&#2380;&#2325;&#2367;&#2325; &#2357;&#2381;&#2351;&#2325;&#2381;&#2340;&#2367;&#2340;&#2381;&#2357; &#2325;&#2366; &#2357;&#2352;&#2381;&#2339;&#2344; &#2332;&#2367;&#2360; &#2326;&#2370;&#2348;&#2360;&#2370;&#2352;&#2340;&#2368; &#2360;&#2375; &#2325;&#2367;&#2351;&#2366; &#2361;&#2376;, &#2313;&#2360;&#2368; &#2348;&#2375;&#2348;&#2366;&#2325;&#2368; &#2360;&#2375; &#2313;&#2344;&#2325;&#2375; &#2357;&#2381;&#2351;&#2360;&#2344;&#2368; &#2324;&#2352; &#2344;&#2367;&#2352;&#2381;&#2348;&#2354; &#2313;&#2340;&#2381;&#2340;&#2352;&#2366;&#2343;&#2367;&#2325;&#2366;&#2352;&#2367;&#2351;&#2379;&#2306; &#2325;&#2366; &#2357;&#2352;&#2381;&#2339;&#2344; &#2349;&#2368; &#2325;&#2367;&#2351;&#2366; &#2361;&#2376;&#2404; &#2350;&#2361;&#2366;&#2325;&#2357;&#2367; &#2325;&#2366;&#2354;&#2367;&#2342;&#2366;&#2360; &#8216;&#2313;&#2346;&#2350;&#2366;&#8217; &#2325;&#2375; &#2354;&#2367;&#2319; &#2357;&#2367;&#2358;&#2381;&#2357;&#2346;&#2381;&#2352;&#2360;&#2367;&#2342;&#2381;&#2343; &#2361;&#2376;&#2306; &#2324;&#2352; &#2311;&#2360; &#2346;&#2369;&#2360;&#2381;&#2340;&#2325; &#2350;&#2375;&#2306; &#2313;&#2346;&#2350;&#2366; &#2325;&#2375; &#2309;&#2344;&#2375;&#2325; &#2360;&#2369;&#2344;&#2381;&#2342;&#2352; &#2358;&#2381;&#2354;&#2379;&#2325; &#2361;&#2376;&#2306;&#2404; &#8216;&#2309;&#2349;&#2367;&#2332;&#2381;&#2334;&#2366;&#2344; &#2358;&#2366;&#2325;&#2369;&#2344;&#2381;&#2340;&#2354;&#8217; &#2324;&#2352; &#8216;&#2350;&#2375;&#2328;&#2342;&#2370;&#2340;&#8217; &#2332;&#2376;&#2360;&#2375; &#2350;&#2361;&#2366;&#2325;&#2366;&#2357;&#2381;&#2351;&#2379;&#2306; &#2325;&#2368; &#2361;&#2368; &#2358;&#2381;&#2352;&#2375;&#2339;&#2368; &#2350;&#2375;&#2306; &#2361;&#2376; &#8216;&#2352;&#2328;&#2369;&#2357;&#2306;&#2358;&#8217; &#2332;&#2367;&#2360;&#2375; &#2346;&#2338;&#2344;&#2375; &#2325;&#2366; &#2310;&#2344;&#2344;&#2381;&#2342; &#2309;&#2348; &#2361;&#2367;&#2344;&#2381;&#2342;&#2368; &#2350;&#2375;&#2306; &#2349;&#2368; &#2310;&#2346; &#2354;&#2375; &#2360;&#2325;&#2340;&#2375; &#2361;&#2376;&#2306;&#2404;</p>
","","140.0","Poetry","4.5","7/18/2020","","","","","Hindi",""
"Kashmirnama","Pandey, Ashok Kumar","Rajpal and Sons","2018-1-10","Paperback","464","","","hin","9789386534453","0","https://www.goodreads.com/book/show/38099980-kashmirnama","/HandyLibrary/Icons/Img_9789386534453.png","/HandyLibrary/Photos/Img_9789386534453.png","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1516360486l/38099980._SX98_.jpg","","","625.0","Kashmir","4.0","7/18/2020","","","","","Hindi",""
